"ID番号","_05"
"氏名",""
"性別",不明
"年齢",0
"身長(cm)","-----"
"体重(kg)","-----"
"トライアル番号",1
"病名",""
"メモ",""
"検査者",""
"杖",未使用
"計測時間(秒)",5
"計測周期(Hz)",100
"検査日付","2023/06/23 22:50:36"
歩行方向,正位置
１歩目の順列,右足
"歩行スピード", 87.09
"歩行ケーデンス", 98.90
"右足の歩数",2
"左足の歩数",2
"右杖の数",0
"左杖の数",0
"算出・形状選択フラグ",0
"歩杖番号","着床時間(秒)","離床時間(秒)","着床座標X（cm）","着床座標Y（cm）","離床座標X（cm）","離床座標Y（cm）","中心座標X（cm）","中心座標Y（cm）","接地スイッチ数","左右歩フラグ","算出・形状選択フラグ","Ｙスイッチの幅","ToY","つま先開き角度（deg）","杖着床時間(秒)","杖離床時間(秒)","杖着床座標X（cm）","杖着床座標Y（cm）","杖離床座標X（cm）","杖離床座標Y（cm）","杖中心座標X（cm）","杖中心座標Y（cm）","杖接地スイッチ数","左右杖フラグ","基準足","反対足","杖算出・形状選択フラグ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 0.620, 1.360,70.000,49.000,89.000,48.500,80.500,49.000,136,0,0,8855,5768,-0.847,"-.--","-.--","-.--","-.--","-.--","-.--","-.--","-.--","-","-","-","-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, 1.820, 2.570,177.500,50.000,197.000,47.000,187.000,50.000,138,0,0,22424,5896,-2.341,"-.--","-.--","-.--","-.--","-.--","-.--","-.--","-.--","-","-","-","-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 0.000, 0.790,19.000,35.500,37.000,35.000,28.500,35.250,120,1,0,2199,3847, 4.270,"-.--","-.--","-.--","-.--","-.--","-.--","-.--","-.--","-","-","-","-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, 1.220, 1.960,122.500,40.000,139.000,40.000,133.000,40.000,140,1,0,15512,4489,-2.195,"-.--","-.--","-.--","-.--","-.--","-.--","-.--","-.--","-","-","-","-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
