"ID番号","_02"
"氏名",""
"性別",不明
"年齢",0
"身長(cm)","-----"
"体重(kg)","-----"
"トライアル番号",1
"病名",""
"メモ",""
"検査者",""
"杖",未使用
"計測時間(秒)",5
"計測周期(Hz)",100
"検査日付","2023/06/23 22:29:20"
"時間範囲(秒)","0.00 - 5.00"
"総合COP 総軌跡長（cm）",232.54
"総合COP 速度（cm/秒）", 72.67
"総合COP 矩形面積（c ㎡）",5054.11
"総合COP 左右幅（cm）", 22.89
"総合COP 前後幅（cm）",220.80
"総合COP Y 方向軌跡長（cm）", 65.67
"総合COP Y 方向単位軌跡長（cm/秒）", 20.52
"総合COP X 方向軌跡長（cm）",220.82
"総合COP X 方向単位軌跡長（cm/秒）", 69.01
"時間(秒)","総合COP X 座標（cm）","総合COP Y 座標（cm）","総合COP 速度（cm/秒）","総合COP X 方向単位軌跡長（cm/秒）","総合COP Y 方向単位軌跡長（cm/秒）"
  3.24,"-.--","-.--","-.--","-.--","-.--"
  3.25,"-.--","-.--","-.--","-.--","-.--"
  3.26,"-.--","-.--","-.--","-.--","-.--"
  3.27,"-.--","-.--","-.--","-.--","-.--"
  3.28,"-.--","-.--","-.--","-.--","-.--"
  3.29,"-.--","-.--","-.--","-.--","-.--"
  3.30,"-.--","-.--","-.--","-.--","-.--"
  3.31,"-.--","-.--","-.--","-.--","-.--"
  3.32,"-.--","-.--","-.--","-.--","-.--"
  3.33,"-.--","-.--","-.--","-.--","-.--"
  3.34,"-.--","-.--","-.--","-.--","-.--"
  3.35,"-.--","-.--","-.--","-.--","-.--"
  3.36,"-.--","-.--","-.--","-.--","-.--"
  3.37,"-.--","-.--","-.--","-.--","-.--"
  3.38,"-.--","-.--","-.--","-.--","-.--"
  3.39,"-.--","-.--","-.--","-.--","-.--"
  3.40,"-.--","-.--","-.--","-.--","-.--"
  3.41,"-.--","-.--","-.--","-.--","-.--"
  3.42,"-.--","-.--","-.--","-.--","-.--"
  3.43,"-.--","-.--","-.--","-.--","-.--"
  3.44,"-.--","-.--","-.--","-.--","-.--"
  3.45,"-.--","-.--","-.--","-.--","-.--"
  3.46,"-.--","-.--","-.--","-.--","-.--"
  3.47,"-.--","-.--","-.--","-.--","-.--"
  3.48,"-.--","-.--","-.--","-.--","-.--"
  3.49,"-.--","-.--","-.--","-.--","-.--"
  3.50,"-.--","-.--","-.--","-.--","-.--"
  3.51,"-.--","-.--","-.--","-.--","-.--"
  3.52,"-.--","-.--","-.--","-.--","-.--"
  3.53,"-.--","-.--","-.--","-.--","-.--"
  3.54,"-.--","-.--","-.--","-.--","-.--"
  3.55,"-.--","-.--","-.--","-.--","-.--"
  3.56,"-.--","-.--","-.--","-.--","-.--"
  3.57,"-.--","-.--","-.--","-.--","-.--"
  3.58,"-.--","-.--","-.--","-.--","-.--"
  3.59,"-.--","-.--","-.--","-.--","-.--"
  3.60,"-.--","-.--","-.--","-.--","-.--"
  3.61,"-.--","-.--","-.--","-.--","-.--"
  3.62,"-.--","-.--","-.--","-.--","-.--"
  3.63,"-.--","-.--","-.--","-.--","-.--"
  3.64,"-.--","-.--","-.--","-.--","-.--"
  3.65,"-.--","-.--","-.--","-.--","-.--"
  3.66,"-.--","-.--","-.--","-.--","-.--"
  3.67,"-.--","-.--","-.--","-.--","-.--"
  3.68,"-.--","-.--","-.--","-.--","-.--"
  3.69,"-.--","-.--","-.--","-.--","-.--"
  3.70,"-.--","-.--","-.--","-.--","-.--"
  3.71,"-.--","-.--","-.--","-.--","-.--"
  3.72,"-.--","-.--","-.--","-.--","-.--"
  3.73,"-.--","-.--","-.--","-.--","-.--"
  3.74,"-.--","-.--","-.--","-.--","-.--"
  3.75,"-.--","-.--","-.--","-.--","-.--"
  3.76,"-.--","-.--","-.--","-.--","-.--"
  3.77,"-.--","-.--","-.--","-.--","-.--"
  3.78,"-.--","-.--","-.--","-.--","-.--"
  3.79,"-.--","-.--","-.--","-.--","-.--"
  3.80,"-.--","-.--","-.--","-.--","-.--"
  3.81,"-.--","-.--","-.--","-.--","-.--"
  3.82,"-.--","-.--","-.--","-.--","-.--"
  3.83,"-.--","-.--","-.--","-.--","-.--"
  3.84,"-.--","-.--","-.--","-.--","-.--"
  3.85,"-.--","-.--","-.--","-.--","-.--"
  3.86,"-.--","-.--","-.--","-.--","-.--"
  3.87,"-.--","-.--","-.--","-.--","-.--"
  3.88,"-.--","-.--","-.--","-.--","-.--"
  3.89,"-.--","-.--","-.--","-.--","-.--"
  3.90,"-.--","-.--","-.--","-.--","-.--"
  3.91,"-.--","-.--","-.--","-.--","-.--"
  3.92,"-.--","-.--","-.--","-.--","-.--"
  3.93,"-.--","-.--","-.--","-.--","-.--"
  3.94,"-.--","-.--","-.--","-.--","-.--"
  3.95,"-.--","-.--","-.--","-.--","-.--"
  3.96,"-.--","-.--","-.--","-.--","-.--"
  3.97,"-.--","-.--","-.--","-.--","-.--"
  3.98,"-.--","-.--","-.--","-.--","-.--"
  3.99,"-.--","-.--","-.--","-.--","-.--"
  4.00,"-.--","-.--","-.--","-.--","-.--"
  4.01,"-.--","-.--","-.--","-.--","-.--"
  4.02,"-.--","-.--","-.--","-.--","-.--"
  4.03,"-.--","-.--","-.--","-.--","-.--"
  4.04,"-.--","-.--","-.--","-.--","-.--"
  4.05,"-.--","-.--","-.--","-.--","-.--"
  4.06,"-.--","-.--","-.--","-.--","-.--"
