"ID番号","_07"
"氏名",""
"性別",不明
"年齢",0
"身長(cm)","-----"
"体重(kg)","-----"
"トライアル番号",1
"病名",""
"メモ",""
"検査者",""
"杖",未使用
"計測時間(秒)",5
"計測周期(Hz)",100
"検査日付","2023/06/23 22:58:35"
歩行方向,正位置
１歩目の順列,左足
"歩行スピード",108.79
"歩行ケーデンス",109.09
"右足の歩数",2
"左足の歩数",2
"右杖の数",0
"左杖の数",0
"算出・形状選択フラグ",0
"歩杖番号","着床時間(秒)","離床時間(秒)","着床座標X（cm）","着床座標Y（cm）","離床座標X（cm）","離床座標Y（cm）","中心座標X（cm）","中心座標Y（cm）","接地スイッチ数","左右歩フラグ","算出・形状選択フラグ","Ｙスイッチの幅","ToY","つま先開き角度（deg）","杖着床時間(秒)","杖離床時間(秒)","杖着床座標X（cm）","杖着床座標Y（cm）","杖離床座標X（cm）","杖離床座標Y（cm）","杖中心座標X（cm）","杖中心座標Y（cm）","杖接地スイッチ数","左右杖フラグ","基準足","反対足","杖算出・形状選択フラグ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 0.000, 0.730,28.500,34.500,47.000,34.000,39.000,34.250,133,0,0,3480,3976,-3.368,"-.--","-.--","-.--","-.--","-.--","-.--","-.--","-.--","-","-","-","-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, 1.150, 1.790,148.500,32.500,169.500,31.000,159.000,31.750,141,0,0,18840,3720, 1.184,"-.--","-.--","-.--","-.--","-.--","-.--","-.--","-.--","-","-","-","-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 0.620, 1.270,89.500,25.500,105.500,24.500,99.500,25.000,137,1,0,11287,2568, 0.440,"-.--","-.--","-.--","-.--","-.--","-.--","-.--","-.--","-","-","-","-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, 1.650, 2.390,208.000,26.500,228.000,29.000,218.000,27.750,140,1,0,26392,2824,-2.053,"-.--","-.--","-.--","-.--","-.--","-.--","-.--","-.--","-","-","-","-","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
