"ID番号","_9898"
"氏名",""
"性別","男"
"身長(cm)","0"
"体重(kg)","0"
"姿勢",""
"病名",""
"メモ",""
"測定者",""
"眼の状態","開眼"
"測定時間(秒)","1.4"
"周期(Hz)","100"
"測定日時","2023/06/26 19:07:41"
"時間(秒)","合成圧中心:左右X軸(cm)","合成圧中心:前後Y軸(cm)","合成圧中心軌跡長(cm)"
0.00,NaN,NaN,
0.01,8.0,-6.0,
0.02,8.0,-6.0,
0.03,7.7,-5.9,0.3
0.04,7.7,-5.9,0.3
0.05,7.5,-6.0,0.5
0.06,7.5,-6.1,0.6
0.07,6.8,-5.9,1.3
0.08,6.5,-5.7,1.6
0.09,5.5,-5.6,2.7
0.10,4.9,-5.5,3.3
0.11,4.4,-5.4,3.7
0.12,4.1,-5.3,4
0.13,4.1,-5.3,4.1
0.14,4.1,-5.3,4.1
0.15,4.0,-5.3,4.2
0.16,3.9,-5.3,4.3
0.17,3.8,-5.2,4.4
0.18,3.7,-5.2,4.5
0.19,3.6,-5.1,4.6
0.20,3.4,-5.1,4.8
0.21,3.3,-5.0,5
0.22,3.1,-5.0,5.2
0.23,3.0,-5.0,5.2
0.24,3.0,-5.0,5.2
0.25,2.8,-4.9,5.4
0.26,2.7,-4.9,5.6
0.27,2.5,-4.9,5.8
0.28,2.3,-4.9,5.9
0.29,2.2,-4.9,6.1
0.30,2.0,-4.8,6.2
0.31,1.9,-4.9,6.4
0.32,1.8,-4.9,6.5
0.33,1.6,-4.8,6.7
0.34,1.4,-4.8,6.8
0.35,1.3,-4.8,6.9
0.36,1.2,-4.8,7
0.37,1.1,-4.8,7.2
0.38,1.0,-4.8,7.3
0.39,0.8,-4.8,7.4
0.40,0.7,-4.7,7.6
0.41,0.6,-4.8,7.7
0.42,0.5,-4.8,7.8
0.43,0.4,-4.8,7.9
0.44,0.3,-4.8,8
0.45,0.2,-4.9,8
0.46,0.2,-4.9,8.1
0.47,0.1,-4.9,8.2
0.48,0.0,-4.8,8.3
0.49,-0.2,-4.8,8.5
0.50,-0.4,-4.8,8.6
0.51,-0.5,-4.8,8.8
0.52,-0.6,-4.8,8.9
0.53,-0.8,-4.7,9.1
0.54,-0.9,-4.7,9.2
0.55,-1.0,-4.7,9.3
0.56,-1.2,-4.7,9.5
0.57,-1.4,-4.7,9.7
0.58,-1.6,-4.6,9.9
0.59,-1.8,-4.6,10
0.60,-1.9,-4.6,10.2
0.61,-2.1,-4.6,10.4
0.62,-2.3,-4.6,10.6
0.63,-2.6,-4.6,10.8
0.64,-2.8,-4.6,11.1
0.65,-2.9,-4.6,11.1
0.66,-2.9,-4.6,11.2
0.67,-3.0,-4.6,11.3
0.68,-3.0,-4.6,11.3
0.69,-3.1,-4.6,11.4
0.70,-3.1,-4.6,11.4
0.71,-3.2,-4.6,11.4
0.72,-3.2,-4.6,11.5
0.73,-3.2,-4.6,11.5
0.74,-3.2,-4.6,11.5
0.75,-3.2,-4.6,11.5
0.76,-3.2,-4.7,11.5
0.77,-3.2,-4.7,11.6
0.78,-3.2,-4.7,11.6
0.79,-3.2,-4.7,11.6
0.80,-3.2,-4.7,11.6
0.81,-3.2,-4.8,11.6
0.82,-3.2,-4.8,11.7
0.83,-3.1,-4.8,11.7
0.84,-3.1,-4.9,11.8
0.85,-3.1,-4.9,11.8
0.86,-3.0,-4.9,11.9
0.87,-3.0,-4.9,11.9
0.88,-2.9,-4.9,12
0.89,-2.8,-4.9,12.1
0.90,-2.6,-4.9,12.2
0.91,-2.5,-4.9,12.4
0.92,-2.4,-4.9,12.5
0.93,-2.2,-4.9,12.6
0.94,-2.1,-4.9,12.8
0.95,-1.9,-4.9,13
0.96,-1.8,-4.9,13.1
0.97,-1.6,-4.8,13.3
0.98,-1.4,-4.8,13.5
0.99,-1.3,-4.8,13.6
1.00,-1.1,-4.8,13.8
1.01,-1.0,-4.8,13.9
1.02,-0.9,-4.8,14
1.03,-0.8,-4.8,14.1
1.04,-0.8,-4.8,14.1
1.05,-0.8,-4.7,14.2
1.06,-0.8,-4.7,14.3
1.07,-0.9,-4.7,14.3
1.08,-1.0,-4.7,14.4
1.09,-1.1,-4.7,14.5
1.10,-1.1,-4.7,14.5
1.11,-1.1,-4.7,14.5
1.12,-1.1,-4.7,14.5
1.13,-1.1,-4.7,14.6
1.14,-1.1,-4.7,14.6
1.15,-0.9,-4.8,14.8
1.16,-0.7,-4.8,15
1.17,-0.6,-4.8,15.1
1.18,-0.5,-4.9,15.2
1.19,-0.4,-4.9,15.3
1.20,-0.4,-4.9,15.3
1.21,-0.3,-4.9,15.4
1.22,-0.1,-4.9,15.6
1.23,0.0,-4.9,15.7
1.24,0.1,-4.9,15.8
1.25,0.1,-4.9,15.8
1.26,0.2,-4.9,15.9
1.27,0.2,-4.9,15.9
1.28,0.3,-4.9,16
1.29,0.3,-4.9,16.1
1.30,0.3,-4.8,16.1
1.31,0.2,-4.8,16.2
1.32,0.0,-4.7,16.4
1.33,-0.1,-4.6,16.6
1.34,-0.2,-4.4,16.8
1.35,-0.7,-4.3,17.3
1.36,-1.5,-4.1,18.1
1.37,-1.9,-3.8,18.5
1.38,-2.6,-3.4,19.4
1.39,-2.7,-3.3,19.5
1.40,-3.0,-3.0,19.9
